Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
132,"Bailenson, Jeremy N.
Blascovich, Jim
Beall, Andrew C.
Loomis, Jack M.",2001,Presence: Teleoperators and Virtual Environments,"Equilibrium Theory Revisited: Mutual Gaze and Personal Space
in Virtual Environments",Yes, No,Yes,"Proxemics (sc)
Agency (p)
Eye Gaze (p)
Anthropomorphic Appearance (sc)","(Priming) Under the guise of a memory task, participants walked towards and around the agent.
(Agency) All participants maintained more space around agents than they did around similarly sized and shaped but nonhuman-like objects.
Results:
- Both men and women gave more personal space to agents who exhibited realistic gaze behavior than to agents who did not as well as to the control pylon.
- There were no reliable differences between the two types of faces (flat shaded and photograph textured)",Agent,No,"Behaviors (participants’s absolute position and orientation)
Beliefs/Illusions (Social Presence Ratings)
Memory","50 were recruited on campus (age ranged from 18 to 31
)",High,High,Myungho,2013-02-20,
133,"Fong, Terrence
Nourbakhsh, Illah
Dautenhahn, Kerstin",2003,Robotics and autonomous systems,A survey of socially interactive robots, N/A, N/A, N/A,N/A,"Socially interactive robots:
- we use the term “socially interactive robots” to distinguish these robots from other robots that involve “conventional” human-robot interaction.
- focusing on peer-to-peer human-robot interaction
- specifically robots that exhibit “human social” characteristics( emotion, dialogue, learn/recognize models of other agents, social relationship, using natural cues, personality/character, social competencies", N/A,N/A,N/A,N/A, N/A,High,Myungho,2013-02-20,
134,"Gonsior, Barbara
Sosnowski, Stefan
BuB, Malte
Wollherr, Dirk
Kuhnlenz, Kolja",2012,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),An emotional adaption approach to increase helpfulness towards a robot, N/A, N/A, N/A,"Emotiveness (r) 
Talk/Speak (r)
Facial Expressions (sc)","Two experimental conditions:
- With emotional adaption: the main group. Explicit and implicit emotional adaptions are applied.
- Without emotional adaption: the comparison group. The robot is showing emotional reaction according to its success in the game.",Agent,N/A,"Behavior (participants's helpfulness)
Thoughts (participants's self description of their current emotion, Empathy,Anthropomorphism, Animacy, Likeability, Perceived Intelligence)
","41 subjects (27 male and 14 female, between 18 to 40 years with an average age of 23.8), with very different backgrounds.
", Medium, Low,Myungho,2013-02-20,
135,"Kuster, C
Ranieri, N
Agustina, H
Bazin, JC
Sun, C
Popa, T
Gross, M",2012,N/A,TOWARDS NEXT GENERATION 3D TELECONFERENCING SYSTEMS, N/A, N/A, N/A,N/A,"They use the Point grey camera to replace the low quality RGB of the Kinect, and applied denoising algorithm. 
For transmission, they transmit 3D video data as RGB images with depth maps. The depth map is stored in the R channel. They use a standard H.264 2D video compression and H.323protocol.
To avoid the depth map being significantly changed, they render the geometry from a novel viewpoint directly on the acquisition side and then transmit the modified depth map to the remote rendering sites.
", N/A,N/A,N/A,N/A, N/A, N/A,Myungho,2013-02-20,
136,"Chuah, Joon Hao
Robb, Andrew
et al.",2012,IEEE Virtual Reality Conference (VR),Increasing Agent Physicality to Raise Social Presence and Elicit Realistic Behavior,Yes,Yes,Yes (user was not told that ECAs were controlled by human --> omission),"Physical Shape (sm)
Body Pose and Gestures (r)
Talk/Speak (r)
Talk/Speak (p)","Authors propose that the ECA analogues of immersion and presence are physicality and social presence.
They found that increasing physicality can elicit realistic behavior and increase social presence but there was also an interaction effect with plausibility", Avatar,No,"Behavior (more realistically towards the ECA)
Increase feeling of social presence

",23 medical professionals.,High, Medium,Remo,2013-02-20,
137,"González-Franco, Mar
Pérez-Marcos, Daniel
Spanlang, Bernhard
Slater, Mel",2010,IEEE Virtual Reality Conference (VR),The Contribution of Real-Time Mirror Reflections of Motor Actions on Virtual Body Ownership in an Immersive Virtual Environment, N/A, N/A, No,"Synchronization of Stimuli (sc)
Body Pose and Gestures (sc)
Situational Plausibility (sc)","(?? I'm little bit confused of this sentence, I put Avatar in the ""Agent/Avatar"" column anyway.) This is related to agency, ‘The sense that 
I am the one who is causing or generating an action’

we concentrate on agency with respect to the body as a 
whole, exclusively examining the contribution of real-time virtual 
mirror reflections of upper body movements on body ownership.",Agent,Yes,"Beliefs/illusions( via bodyownership questionnaire )
Behaviors (avoidance of harm to the reflected 
virtual body)",20 (m10 f10 age: 18 - 31), Medium, Medium,Myungho,2013-02-20,
138,"Johnsen, Kyle
Lok, Benjamin",2008,IEEE Virtual Reality Conference (VR),An Evaluation of Immersive Displays for Virtual Human Experiences, No,Yes, No,Display Technology (sm),"Authors compare large-screen display (FTPD)  to a non-stereo head-mounted display   (HMD) for   a virtual human (VH) experience.
HMD had higher presence score.
Student self-ratings of empathy were  significantly  higher  in  the  HMD, but they were less able to accurately reflect on their own level of empathy",Agent,No,Display technology influence on exhibited empathy and users' feeling of presence,27 medical students, Low, Medium,Remo,2013-02-20,
139,"Kotranza, Aaron
Lok, Benjamin",2008,IEEE Virtual Reality Conference (VR),Virtual Human + Tangible Interface = Mixed Reality Human An Initial Exploration with a Virtual Breast Exam Patient, No,Yes, No,"Haptic / Tactile Interactions (sm)
Physical Shape (sm)
Pressure sensing (sm)","Paper proposes Mixed-Reality Humans (MRH) - virtual human embodied by a tangible interface  that shares the same registered space.
In user study, users demonstrated interpersonal touch and social engagement similarly to interacting with a human patient.
Users have higher expectations for the MRH to act human-like.",Agent,No,"Behavior (interpersonal touch, social engagement)
Expectation (act more human-like when physically embodied agent)",8 second-year medical students, Medium, Medium,Remo,2013-02-20,
140,"Kotranza, Aaron
Lok, Benjamin
et al.",2009,IEEE Virtual Reality Conference (VR),Virtual Humans That Touch Back: Enhancing Nonverbal Communication with Virtual Humans through Bidirectional Touch,Yes,Yes, No,"Haptic / Tactile Interactions (sm)
Physical Shape (sm)
Spontaneous Actions (p)","
Authors use active haptic feedback from a mixed-reality human to the users. 
Bidirectional   touch   affords   nonverbal communication    between    human    and    VH.
Human-to-VH  touch  is used  for  the  same  communication  purposes  as  human-to-human touch
VH-to-human  touch  (pseudo-haptic  and  active-haptic) allows the VH to communicate with its human interaction partner
",Agent,No,"Behavior (interpersonal touch)
Elicit more positive attitudes towards virtual human

",54 medical students, Medium, Medium,Remo,2013-02-20,
141,"Raij, Andrew
Kotranza, Aaron
et al.",2009,IEEE Virtual Reality Conference (VR),Virtual Experiences for Social Perspective-Taking, N/A, N/A, No,,"Use virtual social perspective-taking (VSP) to increase a user’s understanding of a patient’s emotions in a medical interview.
During the VSP, participants reﬂected on their use of empathy and perspective-taking.
The reﬂection afforded by VSP encouraged participants to change their behavior in future social interactions
",Agent,Yes (users take perspective of surrogate to relive conversations),"Understand another person's perspective.
Behavior (change for future, similar interactions)",16 medical students from different study years., Low, Medium,Remo,2013-02-20,
142,"Steptoe, William
Oyekoya, Oyewole
et al.",2009,IEEE Virtual Reality Conference (VR),Eye Tracking for Avatar Eye Gaze Control During Object-Focused Multiparty Interaction in Immersive Collaborative Virtual Environments,Yes,Yes,No,"Eye Gaze (p, r)
Tracking Accuracy (sm)","Study how the behaviour of avatar eye gaze may influence task performance, user experience and interactional behaviour as metrics of quality of communication.
They found tracked- and static-gaze avatars made higher quality of communication than gaze model behaviour avatars in task performance and interactional analysis. However, they could not find significant difference in user experience.",Avatar,Yes (user-controlled avatars in VEs: user embodiment is a fundamental issue),Thoughts (effectiveness of the system),"12 participants (no experience of immersive projection tech.)
compensation: £10",High,Medium,Kangsoo,2013-02-20,v
143,"Steptoe, William
Steed, Anthony",2008,IEEE Virtual Reality Conference (VR),High-Fidelity Avatar Eye-Representation,Yes,No,No,"Eye Gaze (vergence)
Eye Deformation","Study the influence of socket-deformation and vergence on the accuracy of Point of Regard identification and the perceived authenticity of the high-fidelity avatar.
accuracy decreased under socket-deformation and vergence conditions, but highly dependent on viewing camera angle",Agent,No,"Point-of-Regard Identification,
Beliefs/Illusions (Perception of Authenticity)",48 participants (24 male),Medium,Medium,Kangsoo,2013-02-20,v
144,"Nguyen, Hien
Masthoff, Judith",2009,International Conference on Persuasive Technology (Persuasive),Designing Empathic Computers: The Effect of Multimodal Empathic Feedback Using Animated Agent,Yes,No,Yes,"Emotiveness-Empathy (r) 
Expressivity (r)","Priming: The subjects are led to believe that they are going to take part in a study of verbal skills and web credibility judgement.

Study about participants' reactions and feelings in terms of agent's empathy and expressivity.",Agent,No,"behavioural, and subjective reactions.","84 students and staff of the university (37 males, 47 females; average age: 25.4 years, stdev: 7.9 years) 
compensation: £5 voucher",High,High,Kangsoo,2013-02-20,v
145,"Vossen, Suzanne
Ham, Jaap
Midden, Cees",2009,International Conference on Persuasive Technology (Persuasive),Social Influence of a Persuasive Agent: The Role of Agent Embodiment and Evaluative Feedback,Yes,No,No,"Physical Shape (sc)
Talk/Speak (p)
Facial Expressions (sc)","Users get feedback about energy consumption from either an embodied agent or a computer after using a laundry machine, and find out the difference in behavior change in the study.
Men did not care whether the feedback was given by a computer or by an embodied agent. However, women who interacted with the embodied agent used less energy than women who interacted with the computer.",Agent,No,Behaviors (less energy consumption),"76 students (51 male, 25 female),
age: 18 to 25 years (M = 19.88, SD = 1.97).
compensation:  € 5
experiment time: 20 mins",Medium,Low,Kangsoo,2013-02-20,v
146,"Narita, Tatsuya
Kitamura, Yasuhiko",2010,International Conference on Persuasive Technology (Persuasive),Persuasive Conversational Agent with Persuasion Tactics, N/A, N/A,Yes,"Persuasion
Talk/Speak (r)","(Priming) (Wizard of Oz) a person preteding to be an agent
1st exp:60 subjects, the agent + Wizard succeeded to persuade 25 (42%)
2nd exp:the agent that used the conversation model created in the 1st exp succeeded in persuading one user (out of 10) w/o help from the Wizard; another 2 subjects were persuaded with some assistance by the Wizard. The experiments show that the persuasive conversational agent looks promising. (mh:??!!)", Mixed,N/A,"Behaviors( Performance of persuasion
Burden of the Wizards )",60 for 1st exp. 10 for 2nd exp., Low, Low,Myungho,2013-02-20,
147,"Midden, Cees
Ham, Jaap",2012,International Conference on Persuasive Technology (Persuasive),The Illusion of Agency : The Influence of the Agency of an Artificial Agent on Its Persuasive Power,Yes, No,Yes,Agency (r),"- participants consumed less energy when a robotic social agent gave them feedback than when they received non-social feedback
- the persuasive power of robot behavior is independent of the extent to which the persuadee explicitly ascribes agency to the agent.
- people’s implicit reactions (behavior when interacting with computers) and explicit responses when directly asked about computers differ from each other.
- embodied virtual agents (EVA’s) in social interaction has led to two views: 1) the Computer As Social Agents (CASA) paradigm, 2) the Threshold Model of Social Influence", Mixed,No,"Behaviors(Energy consumption/persuasion),
Thoughts (Agency, social characteristics)","Eighty-four participants (55 men and 29 women, average age = 21.4 years, SD = 3,5)", Medium, Medium,Myungho,2013-05-22,
148,"Heerink, Marcel
Kröse, Ben
et al.",2010,Virtual Reality Journal,Relating Conversational Expressiveness to Social Presence and Acceptance of an Assistive Social Robot,Yes, No,Yes,"Eye Gaze (p)
Talk/Speak (r)
","""wizard of oz"" Agent with less social and more social
- There is a correlation between social presence and conversational expressiveness. There is no correlation, however, between intention to use and conversational expressiveness.
- There is a clear difference between the more social and less social condition both in total expressions and in the total amount of expressions that were categorized as positive.", Avatar,No,"Behaviors(non-verbal forms of conversational expressiveness)
Thought / Illusion for measuring acceptance (intention to use, social presence)","Participants were elderly people (17 male, 23 female) between 65 and 96 years old, living in eldercare institu- tions in the cities of Lelystad and Loosdrecht, in the Netherlands.", Medium, Medium,Myungho,2013-05-20,
149,"Nassiri, Nasser
Powell, Norman
Moore, David",2010,Virtual Reality Journal,Human Interactions and Personal Space in Collaborative Virtual Environments, No, No, No,"Proxemics (sc)
Gender effect","Collaborative Virtual Environment (CVE)

This study was carried out in a non-immersive envi-ronment(Active worlds).
The participants in general didnot register high anxiety when their personal space wasinvaded, as might be expected from personal space inva-sion in physical environments which tends to cause anxietyand discomfort.
Most of the participants in the interviews suggested that their experience of personal space invasion would not be influenced by the level of realism of the CVE in general.", Avatar,No,"Behaviors(observational study in Activeworlds)
Thought(Personal space invasion anxiety level)","40 participants (20 males and
20 females) (age: 20-23)", Low, Low,Myungho,2013-02-26,
150,"Riva, Giuseppe",2009,Virtual Reality Journal,Is Presence a Technology Issue? Some Insights from Cognitive Sciences,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Medium,Kangsoo,2013-02-20,
151,"Yuan, Ye
Steed, Anthony",2010,IEEE Virtual Reality Conference (VR),Is the rubber hand illusion induced by immersive virtual reality?, N/A, N/A, No,"
Anthropomorphic Appearance (sc)
Synchronization of Stimuli (sc)
Graphical Fidelity (sm)
Tracking Accuracy (sm)
Physical Shape (sm)","They induced the rubber hand illusion in the virtual reality environmens. 
there is no significant impact of the distortion of tracking, so in the main we present the results comparing only two Virtual Hand conditions versus the two Arrow Conditions.", Avatar,Yes,"Physiology( GSR )
Illusion ( via bodyownership questionnaire )","20 (m:7, f:13)",High, Medium,Myungho,2013-02-21,
152,"Ogawa, Kohei
Taura, Koichi
Nishio, Shuichi
Ishiguro, Hiroshi",2012,IEEE RO-MAN,Effect of perspective change in body ownership transfer to teleoperated android robot, N/A, N/A, No,"Responsiveness / Latency (r)
Synchronization of Stimuli (sc)
Physical Shape (sm)","In this paper we focus on the 
operator’s visual sensation to clarify the relationship between 
body ownership transfer and visual feedback to operators.
The result showed that not only the first-person view but also the third-person and the  mirror views might cause  body ownership transfer", Avatar,Yes,"Physiology( GSR )
Illusion ( via bodyownership questionnaire )","43 healthy, right-handed participants (25 men, 18 
women)", Medium, Medium,Myungho,2013-02-22,
153,"McDonnell, Rachel
Breidt, Martin
Bülthoff, Heinrich H.",2012,ACM Transactions on Graphics,Render me Real? Investigating the Effect of Render Style on the Perception of Animated Virtual Humans,Yes, No, No,"Anthropomorphic Appearance (sc)
Facial Expressions (sc)
Dynamic vs. Static Surrogate","Highly realistic and highly abstract styles were considered appealing, whether still or moving.
 Render styles that were in the middle of the range between abstract and realistic were considered unappealing, and the most unappealing character was considered even more so when motion was applied.
Rendering style did not bias ‘truth’ responses, and that lies and truths were perceived on real and virtual characters in the same way",Agent,No,"Trust (does rendering style influence trust)
Build rapport so surrogate is perceived as appealing and friendly.

",34 university volunteers,High,High,Remo,2013-02-22,
154,"Bailenson, Jeremy N.
Fox, Jesse
Ricciardi, Tony
",2012,Journal of Cybertherapy and Rehabilitation,Physiological Responses to Virtual Selves and Virtual Others,Yes,Yes,No,"Avatars
Immersive Virtual Environments
Virtual Agents
Virtual Reality
Cybertherapy","Immersive virtual environment. Researchers measured skin conductance in 4 conditions: while participants viewed a self-similar agent running, a self-similar agent loitering, a dissimilar other agent running, and a dissimilar other agent loitering (in randomized order). The most conductance occured with the self-simmilar agent running, which explains other studies showing that this VR exposure increases exercise in RL. Significant conductance also occured while viewing the dissimilar other loitering, possibly due to uncomfortability with a stranger.",Agent,No,"Physiology (amount of skin conductance) 
Measured via Ag/Agl electrodes through Thought Technology ProComp Infiniti software","10 participants ages 18-29 (5 men, 5 women)",High,Medium,Jenna,2013-04-11,
155,"Segovia, Kathryn
Bailenson, Jeremy",2012,Social Influence,Virtual Imposters: Response to Avatars That Do Not Look Like Their Controllers,Yes,Yes,Yes,"Anthropomorphic Appearance (sc)
Emotiveness (r)
Situational Plausibilit (sc)","All 3 experiments test participants aggressive reactions to interaction with 2 others in a ball tossing game. Participants told that one of the others in the game disguised their identitiy and the other revealed what they really look like via avatars. These were really agents, and they ostracized the participant by not passing the ball in the game. Participants allocated more hot sauce to those ostracized them and specifically the ostracizers who disguised their identities. Hot sauce = measure of aggression. ",Agent,No,aggression (grams of hot sauce allocated),"Experiment 1 = 20 (7 male, 13 female)
Experiment 2 = 23 (6 male, 17 female)
Experiment 3 = 56 (25 male, 31 female)
student from a West Coast University",High,High,Jenna,2013-04-11,
156,"Bailenson, Jeremy N.
Blascovich, Jim
Loomis, Jack M.
Beall, Andrew C.",2003,Personality and Social Psychology Bulletin ,Interpersonal Distance in Immersive Virtual Environments,Yes,Yes,Yes ,"Agency (i)
Eye gaze (i)
Body pose and gestures (s,i)
Proxemics (s)
Responsiveness/latency (r)
","Two experiments tested participants reactions to a virtual avatar/agent in a virtual room with them. Independent variables included virtual human gender (within-subject factor) and gaze behavior, participant gender, and agency (between subject factors). Participants significantly kept greater distance from female virtual humans than male. Maintained greater distance from virtual humans who maintained mutual gaze, but only in agent condition. Better recal with avatar virtual humans. Experiemtn 2 looked at how far away participants moved when virtual human invaded their personal space. Moved further with an agent vs. avatar.",Agent (some participants told it was an avatar),Yes,"Distance from virtual human (preferences, recall and emotion ratings) ","Experiment 1 = 80 students from an introductory psychology class (ages 18-30)
Experiment 2 = 80 students from an introductory psychology class (ages 18-25)",High,High,Jenna,2013-04-11,
157,"Bailenson, Jeremy N.
Fox, Jesse",2009,N/A,Virtual Virgins and Vamps: The Effects of Exposure to Female Characters' Sexualized Appearance and Gaze in an Immersive Virtual Environment,Yes,Yes,Yes,"Eye gaze (p)
Synchronization of stimuli (a)
Emotiveness (r)

","Immersive Virtual Environment (IVE)
Study exposes participants to either a suggestively clad, high gaze (vamp) or conservatively clad, low gaze (virgin) virtual female. The former reinforces negative attitudes toward women, and the latter does not.",Agent,N/A,agreement rates on 1-5 scale (sexism and rape myth acceptance) ,83 students from a medium-sized West Coast University (age 18-34),Medium,High,Jenna,2013-04-11,
158,"Bailenson, Jeremy N.
Davies, A
Beall, A.C.
Blascovich, J.
Guadagno, R.E.
McCall, C.",2008,Presence,"The Effects of Witness Viewpoint Distance, Angle, and Choice on Eyewitness Accuracy in Police Lineups Conducted in Immersive Virtual Environments",Yes,Yes,No,"Anthropomorphic Appearance (sc), Anthropomorphic Face and Facial Expressions (a), Situational Plausibility (a), Agency (i, p), Graphical Fidelity (sm), Display Technology (sm)","Subjects witnessed a staged crime in real life and then looked at virtual lineups with 3D busts (head and shoulders). Subjects could either have unlimited view of the agents or a unitary view with one angle and set distance. Subjects also either choose the viewpoints they received or not. Unlimited views produced more accuracy in identifying subjects when present but not when absent. When chosen viewpoints were similar to viewpoints of the crime, accuracy also improved. Subjects were overall more accurate in subject-absent conditions than subject-present.",Agent,N/A,"Accuracy, confidence, interpersonal distance, perpetrator presence (how many times subjects indicated susupects were there)","98 Stanford undergraduate students (52m, 46f)",Medium,High,Jenna,2013-04-11,
159,"Gary Bente
Sabine Rüggenberg
Nicole C. Krämer
Felix Eschenburg",2008,Human Communication Research,Avatar-Mediated Networking: Increasing Social Presence and Interpersonal Trust in Net-Based Collaborations, No,Yes, No,Social Presence,A study analyzing the influence of avatars on social presence in collaborative environments happening in real-time., Avatar,N/A,varied,150, Medium,High,Joy,2013-04-13,
160,"B. Becker
G. Mark",1999,Virtual Reality Journal,Constructing Social Systems through Computer-Mediated Communication, No,Yes, No,Social Presence ,Can computer-mediated communication support the formation of genuine social systems? , Avatar,No,N/A,N/A, Medium, Medium,Joy,2013-04-13,
161,"Gary Bente
Felix Eschenburg
Nicole. C. Krämer",2007,Lecture Notes in Computer Science,Virtual Gaze. A Pilot Study on the Effects of Computer Simulated Gaze in Avatar-Based Conversations, No,Yes, No,"eye gaze (p)
",Intro of a specific methodology for the computer simulation of gaze behavior in net-based interactions and relevant (interesting) results., Avatar,No,Longer gaze duration was found to cause significantly better evaluations of the interaction partners and higher levels of co-presence.,"38, women only", Medium, Medium,Joy,2013-04-15,
162,"Andry Rakotonirainy
Frank Feller
Narelle L. Haworth",2008,Pervasive,Using In-Vehicle Avatars to Prevent Road Violence, No,Yes, No,"Eye gaze (p)
Anthropomorphic Face and Facial Expressions (a)

", Eye gaze is a social cue affecting collective decision making which could contribute substantially to safe driving. , Avatar,No,In-vehicle avatars can objectively reduce road rage and improve road safety.,12 researchers and students,High, Medium,Joy,2013-04-15,
163,"Bailenson, Jeremy N.
Yee, Nick
Blascovich, Jim
Beall, Andrew C.
Lundblad, Nicole
Jin, Michael
",2008,The Journal of the Learning Sciences,"The Use of Immersive Virtual Reality in the Learning Sciences: Digital Transformations of Teachers, Students, and Social Context
",No,Yes,No,"Eye gaze (p)
Agency (i)
Body pose and gestures (p)
","Set of experiments that attempts to improve classroom learning through augmented social perception. Teachers received warnings of student need for eye gaze, students had augmented perception of where they were in relation to teachers, and inserting virtual students/agents altered participants learning abilities.",Agent,N/A,"students in center performed better than students in periphery, men performed better than women, students moved to periphery after sitting in center most likely to ignore teacher, ","1: 40 (20 m, 20 w)
2: 32 Stanford University students (16 w, 16 m)
3: 44 Stanford students (20 w, 24 m)
4: 82 undergrad students",Medium,High,Jenna,2013-04-21,
164,"Paul Skalsi
Ron Tamborini",2007,Media Psychology,"The Role of Social Presence in Interactive Agent-Based Persuasion
",Yes,Yes, No,"Responsiveness / Latency (o), Interactivity, Attraction",How agents can be used to create social presence,Agent,N/A,Interactivity can greatly increase social presence,"125 ""midwestern university"" undergrads",High, Medium,Joy,2013-04-19,
165,Mark Peterson,2005,PacCALL Journal Volume 1,Learning Interaction in an Avatar-Based Virtual Environment: A Preliminary Study,No,No,No,"Emotiveness (p), Responsiveness / Latency (o)",A preliminary study on non-native speaker interaction in the avatar-based ActiveWorlds environment.,Avatar,No,Participants began to modify their behavior after interaction with avatars according to previous research findings.,15 students from a university in Tokyo,Medium,Medium,Joy,2013-04-19,
166,"Jeremy Bailenson
Kathryn Segovia",2009,Online Worlds,Virtual Doppelgangers: Psychological Effects of Avatars Who Ignore Their Owners,Yes,Yes,No,"Physical Shape (s), Anthropomorphic Face and Facial Expressions (a)

",Paper on how avatars become doppelgangers and explanation of current results from studies on this topic,Avatar,Yes,N/A,N/A,High,High,Joy,2013-04-19,
167,"Bailenson, Jeremy N.
Yee, Nick
",2007,N/A,Virtual interpersonal touch: Haptic interaction and copresence in collaborative virutal environments ,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a)
Haptic/tactile interactions (o)
Anthropomorphic appearance (sc)","Participants used a haptic device to ""clean"" virtual humans or virtual cyllinders. People were touched with less force than nonhumans, faces were touched with less force than torsos, and females were touched with less force than males. ",Agent,N/A,force applied on haptic device (less for human agents than nonhuman agents),"40 undergraduates (23f, 17m)",Medium,High,Jenna,2013-04-27,
168,"Okita, Sandra Y.
Bailenson, Jeremy N.
Schwartz, Daniel L.",2007,N/A,The Mere Belief of Social Interaction Improves Learning,No,Yes,Yes,"Agency (i)
Anthropomorphic appearance (sc)
Emotiveness (r)",Participants studied a passage and were told they would teach it. They built relationship with confederate and interacted with them in posttest. Told that confederate was either avatar or agent. Participants performed better and had increased arousal with avatars versus agents. ,Agent,N/A,"Behavior/Performance (test scores), Physiology (skin conductance)",35 adults,High,High,Jenna ,2013-04-27,
169,"Yee, Nick
Bailenson, Jeremy N.
Rickertsen, Kathryn",2007,N/A,A Meta-Analysis of the Impact of the Inclusion and Realism of Human-Like Faces on User Experiences in Interfaces ,No,No,No,"Situational Plausibility (a), Responsiveness/Latency (o), Anthropomorphic Face and Facial Expressions (a)","Meta-analysis examines a large number of studies that compare interfaces with and without embodied agents. Results showed significantly larger effects with subjective responses (questionnaires, interviews) than behavioral responses (performance, memory). Effects were stronger for adding a face to an interface than adding animation to an agent to make it behave more realistically. These effect only account for 2.5% of the variance, however. ",Agent ,N/A,"Assimilated means and standard deviations of each condition, number of participants in each condition, year of publication, country, platform (immersive or desktop); subjective and behavioral measures of representation and realism",46 studies (only 25 studies had statistics that factored in),High,High,Jenna,2013-04-29,
170,"C. D. Kidd
C. Breazeal","2005 (?)
reviewed to CHI 2003(?)",CHI (?),Comparison of Social Presence in Robots and Animated Characters,Yes,Yes,Wizard of Oz,"Physical shape--Eye (sm)
Eye Gaze (p)","Comparison of user’s responses to three different types of characters: robots, animated characters, and human. They measured user's response with questionnaire, which mainly asked four aspects: qualities of the interactions, subject responses to interactions, engagement, and description of characters. In general, the score is in order human > robot > animated character. However, in some questions, participants preferred robot and animated character to human because they got uncomfortable with interacting with another strange human at close range.",Avatar,No,"Social Presence
Engagement","32 (male: 16, female: 16)",High,Medium,Kangsoo,2013-04-29,
171,"Bailenson, Jeremy N.
Yee, Nick",2007,N/A,Virtual Interpersonal Touch and Digital Chameleons ,Yes,Yes,No,"Haptic/Tactile Interactions (sm), Responsiveness/Latency (o), ","Study examines handshake mimicry using a tactile device. Participants used a feedback joystick device to measure their baseline handshake. 2 participants then greeted each other and felt their handshakes through the device. In 1 condition, participants actually felt their own handshake but thought it was the other participant's. Results showed that angle/speed and position correlated for individuals, gender differences in those areas, and male participants liked people who mimicked their handshakes more than females did. ",Agent/Avatar,No,"Angle, position, speed, and acceleration of handshakes; personality factors (Big 5, self-esteem, shyness, liking); negotiation; mimicry detection","90 undergraduate students (42m, 48f)",Medium,High,Jenna,2013-04-29,
172,"C. Breazeal, C. D. Kidd, A. L. Thomaz, G. Hoffman, and M. Berlin",2005,IEEE/RSJ International Conference on Intelligent Robots and Systems,Effects of nonverbal communication on efficiency and robustness in human-robot teamwork,Yes,No,No,"Eye Gaze (p)
Eye Gaze (r)
Body Pose and Gestures (p)
Cooperative Behavior (r)
Facial Expressions (sc)","Authors study influence of non-verbal social cues and behavior on task performance of human guiding robot. Implicit non-verbal communication (gaze following, head nod/shake, confusion gesture, eye blinks, etc.) of the robot positively impacts task performance --> understandability of robot, efficiency, robustness to errors",Agent,No,"Cooperation Behavior
Task Performance
Error Recognition","21 campus subjects (10 males, 11 females) 20 - 40 yo",High,Medium,Remo,2013-05-01,
173,"C. Breazeal, A. Wang, and R. Picard",2007,ACM/IEEE International Conference on Human-Robot Interaction (HRI),"Experiments with a robotic computer: body, affect and cognition interactions",Yes,No,Yes (users were shown video that induced neutral affect),Body Pose and Gestures (r),"Paper presents RoCo (robotic computer), which can move its monitor to imitate posture. Interesting background on influence of human posture on affective and cognitive performance. RoCo's posture is shown to manipulate the user's posture, thus having an effect on increased persistence on cognitive task and comfort. Not directly related to our research, but emphasizes importance of how the surrogate reacts to the affects and moods of a user.",N/A,No,"Task Performance
Affect
Cognitive Persistence
Comfort","71 MIT students (31 females, 40 males)",Low,Medium,Remo,2013-05-01,
174,C. D. Kidd and C. Breazeal,2004,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) (IEEE Cat. No.04CH37566),Effect of a robot on user perceptions,Yes,Yes,Wizard of Oz,"Physical shape--Eye (sm)
Eye Gaze (p)","Follow-up study of ""Comparison of Social Presence in Robots and Animated Characters""
Study how robot's physical presence influences a person's perception (engagement and perception).
Robot was more engaging, enjoyable to interact with, and more informative and credible than animated character. Why? are the animated characters seen as real, but not present, or are they viewed as not real and simply a fictional character portrayed on the screen?
In this study, they conclude the difference does not come from the presence of the robot, rather it isthe fact that the robot is a real, physical thing, as opposedto the fictional animated character in the screen, that leads people to respond differently.",Avatar,No,Engagement and Perception,"within-subject, repeated measures.
[1st study] 32 participants (age: 18-47, mean: 27, sd: 9), half male/half female, 9% asian, 3% african, 3% hispanic, 3% other. Student and professionals. None of them had seen the robot or animated character before.
[2nd study] 82 participants (age: 18-61, mean: 27.7 sd: 9.7)",High,High,Kangsoo,2013-05-01,
175,A. L. Thomaz and C. Breazeal,2006,Intelligent Virtual Agents,"Teachable characters: User studies, design principles, and learning performance",,,,,,,,,,,,Kangsoo,2013-05-01,
176,"B. Auyeung, S. Wheelwright, C. Allison, M. Atkinson, N. Samarawickrema, and S. Baron-Cohen",2009,Journal of autism and developmental disorders,The children’s Empathy Quotient and Systemizing Quotient: sex differences in typical development and in autism spectrum conditions,,,,,,,,,,,,Ryan,2013-05-01,
177,S. Baron-Cohen and S. Wheelwright,2004,Journal of autism and developmental disorders,"The empathy quotient: an investigation of adults with Asperger syndrome or high functioning autism, and normal sex differences",,,,,,,,,,,,Ryan,2013-05-01,
